Dash #,CS Nominal,ID Nominal,OD Nominal,CS Inch,ID Inch,Tol Inch,CS mm,ID mm,Tol mm
001,1/32,1/32,3/32,0.04,0.029,± .004,1.02,0.74,± .10
002,3/64,3/64,9/64,0.05,0.042,± .004,1.27,1.07,± .10
003,1/16,1/16,3/16,0.06,0.056,± .004,1.52,1.42,± .10
004,1/16,5/64,13/64,0.07,0.07,± .005,1.78,1.78,± .13
005,1/16,3/32,7/32,0.07,0.101,± .005,1.78,2.57,± .13
006,1/16,1/8,1/4,0.07,0.114,± .005,1.78,2.9,± .13
007,1/16,5/32,9/32,0.07,0.145,± .005,1.78,3.68,± .13
008,1/16,3/16,5/16,0.07,0.176,± .005,1.78,4.47,± .13
009,1/16,7/32,11/32,0.07,0.208,± .005,1.78,5.28,± .13
010,1/16,1/4,3/8,0.07,0.239,± .005,1.78,6.07,± .13
011,1/16,5/16,7/16,0.07,0.301,± .005,1.78,7.65,± .13
012,1/16,3/8,1/2,0.07,0.364,± .005,1.78,9.25,± .13
013,1/16,7/16,9/16,0.07,0.426,± .005,1.78,10.82,± .13
014,1/16,1/2,5/8,0.07,0.489,± .005,1.78,12.42,± .13
015,1/16,9/16,11/16,0.07,0.551,± .007,1.78,14,± .18
016,1/16,5/8,3/4,0.07,0.614,± .009,1.78,15.6,± .23
017,1/16,11/16,13/16,0.07,0.676,± .009,1.78,17.17,± .23
018,1/16,3/4,7/8,0.07,0.739,± .009,1.78,18.77,± .23
019,1/16,13/16,15/16,0.07,0.801,± .009,1.78,20.35,± .23
020,1/16,7/8,1,0.07,0.864,± .009,1.78,21.95,± .23
021,1/16,15/16,1-1/16,0.07,0.926,± .009,1.78,23.52,± .23
022,1/16,1,1-1/8,0.07,0.989,± .010,1.78,25.12,± .25
023,1/16,1-1/16,1-3/16,0.07,1.051,± .010,1.78,26.7,± .25
024,1/16,1-1/8,1-1/4,0.07,1.114,± .010,1.78,28.3,± .25
025,1/16,1-3/16,1-5/16,0.07,1.176,± .011,1.78,29.87,± .28
026,1/16,1-1/4,1-3/8,0.07,1.239,± .011,1.78,31.47,± .28
027,1/16,1-5/16,1-7/16,0.07,1.301,± .011,1.78,33.05,± .28
028,1/16,1-3/8,1-1/2,0.07,1.364,± .013,1.78,34.65,± .33
029,1/16,1-1/2,1-5/8,0.07,1.489,± .013,1.78,37.82,± .33
030,1/16,1-5/8,1-3/4,0.07,1.614,± .013,1.78,41,± .33
031,1/16,1-3/4,1-7/8,0.07,1.739,± .015,1.78,44.17,± .38
032,1/16,1-7/8,2,0.07,1.864,± .015,1.78,47.35,± .38
033,1/16,2,2-1/8,0.07,1.989,± .018,1.78,50.52,± .46
034,1/16,2-1/8,2-1/4,0.07,2.114,± .018,1.78,53.7,± .46
035,1/16,2-1/4,2-3/8,0.07,2.239,± .018,1.78,56.87,± .46
036,1/16,2-3/8,2-1/2,0.07,2.364,± .018,1.78,60.05,± .46
037,1/16,2-1/2,2-5/8,0.07,2.489,± .018,1.78,63.22,± .46
038,1/16,2-5/8,2-3/4,0.07,2.614,± .020,1.78,66.4,± .51
039,1/16,2-3/4,2-7/8,0.07,2.739,± .020,1.78,69.57,± .51
040,1/16,2-7/8,3,0.07,2.864,± .020,1.78,72.75,± .51
041,1/16,3,3-1/8,0.07,2.989,± .024,1.78,75.92,± .61
042,1/16,3-1/4,3-3/8,0.07,3.239,± .024,1.78,82.27,± .61
043,1/16,3-1/2,3-5/8,0.07,3.489,± .024,1.78,88.62,± .61
044,1/16,3-3/4,3-7/8,0.07,3.739,± .027,1.78,94.97,± .69
045,1/16,4,4-1/8,0.07,3.989,± .027,1.78,101.32,± .69
046,1/16,4-1/4,4-3/8,0.07,4.239,± .030,1.78,107.67,± .76
047,1/16,4-1/2,4-5/8,0.07,4.489,± .030,1.78,114.02,± .76
048,1/16,4-3/4,4-7/8,0.07,4.739,± .030,1.78,120.37,± .76
049,1/16,5,5-1/8,0.07,4.989,± .037,1.78,126.72,± .94
050,1/16,5-1/4,5-3/8,0.07,5.239,± .037,1.78,133.07,± .94
102,3/32,1/16,1/4,0.103,0.049,± .005,2.62,1.24,± .13
103,3/32,3/32,9/32,0.103,0.081,± .005,2.62,2.06,± .13
104,3/32,1/8,5/16,0.103,0.112,± .005,2.62,2.84,± .13
