DASH #,ID (in),WIDTH (in),THK (in),A (in),ID (mm),WIDTH (mm),THK (mm),A (mm)
004,0.096,0.053,0.049,0.045,2.44,1.35,1.24,1.14
005,0.127,0.053,0.049,0.045,3.23,1.35,1.24,1.14
006,0.14,0.053,0.049,0.045,3.56,1.35,1.24,1.14
007,0.171,0.053,0.049,0.045,4.34,1.35,1.24,1.14
008,0.202,0.053,0.049,0.045,5.13,1.35,1.24,1.14
009,0.234,0.053,0.049,0.045,5.94,1.35,1.24,1.14
010,0.265,0.053,0.049,0.045,6.73,1.35,1.24,1.14
011,0.327,0.053,0.049,0.045,8.31,1.35,1.24,1.14
012,0.39,0.053,0.049,0.045,9.91,1.35,1.24,1.14
013,0.455,0.053,0.049,0.045,11.56,1.35,1.24,1.14
014,0.518,0.053,0.049,0.045,13.16,1.35,1.24,1.14
015,0.58,0.053,0.049,0.045,14.73,1.35,1.24,1.14
016,0.643,0.053,0.049,0.045,16.33,1.35,1.24,1.14
017,0.705,0.053,0.049,0.045,17.91,1.35,1.24,1.14
018,0.768,0.053,0.049,0.045,19.51,1.35,1.24,1.14
019,0.83,0.053,0.049,0.045,21.08,1.35,1.24,1.14
020,0.893,0.053,0.049,0.045,22.68,1.35,1.24,1.14
021,0.955,0.053,0.049,0.045,24.26,1.35,1.24,1.14
022,1.018,0.053,0.049,0.045,25.86,1.35,1.24,1.14
023,1.08,0.053,0.049,0.045,27.43,1.35,1.24,1.14
024,1.143,0.053,0.049,0.045,29.03,1.35,1.24,1.14
025,1.205,0.053,0.049,0.045,30.61,1.35,1.24,1.14
026,1.268,0.053,0.049,0.045,32.21,1.35,1.24,1.14
027,1.33,0.053,0.049,0.045,33.78,1.35,1.24,1.14
028,1.393,0.053,0.049,0.045,35.38,1.35,1.24,1.14
029,1.518,0.053,0.049,0.045,38.56,1.35,1.24,1.14
030,1.643,0.053,0.049,0.045,41.73,1.35,1.24,1.14
031,1.768,0.053,0.049,0.045,44.91,1.35,1.24,1.14
032,1.893,0.053,0.049,0.045,48.08,1.35,1.24,1.14
033,2.018,0.053,0.049,0.045,51.26,1.35,1.24,1.14
034,2.143,0.053,0.049,0.045,54.43,1.35,1.24,1.14
