Global Part #,Reference,C/S (MM),I.D. (MM),C/S (Inch),I.D. (Inch)
1.60X003.1,0031-16,1.6,3.1,0.063,0.122
1.60X004.1,0041-16,1.6,4.1,0.063,0.161
1.60X005.1,0051-16,1.6,5.1,0.063,0.201
1.60X006.1,0061-16,1.6,6.1,0.063,0.24
1.60X007.1,0071-16,1.6,7.1,0.063,0.28
1.60X008.1,0081-16,1.6,8.1,0.063,0.319
1.60X009.1,0091-16,1.6,9.1,0.063,0.358
1.60X010.1,0101-16,1.6,10.1,0.063,0.398
1.60X011.1,0111-16,1.6,11.1,0.063,0.437
1.60X012.1,0121-16,1.6,12.1,0.063,0.476
1.60X013.1,0131-16,1.6,13.1,0.063,0.516
1.60X014.1,0141-16,1.6,14.1,0.063,0.555
1.60X015.1,0151-16,1.6,15.1,0.063,0.594
1.60X016.1,0161-16,1.6,16.1,0.063,0.634
1.60X017.1,0171-16,1.6,17.1,0.063,0.673
1.60X018.1,0181-16,1.6,18.1,0.063,0.713
1.60X019.1,0191-16,1.6,19.1,0.063,0.752
1.60X020.1,0201-16,1.6,20.1,0.063,0.791
1.60X021.1,0211-16,1.6,21.1,0.063,0.831
1.60X022.1,0221-16,1.6,22.1,0.063,0.87
1.60X025.1,0251-16,1.6,25.1,0.063,0.988
1.60X027.1,0271-16,1.6,27.1,0.063,1.067
1.60X029.1,0291-16,1.6,29.1,0.063,1.146
1.60X032.1,0321-16,1.6,32.1,0.063,1.264
1.60X035.1,0351-16,1.6,35.1,0.063,1.382
1.60X037.1,0371-16,1.6,37.1,0.063,1.461
2.40X003.6,0036-24,2.4,3.6,0.094,0.142
2.40X004.6,0046-24,2.4,4.6,0.094,0.181
2.40X005.6,0056-24,2.4,5.6,0.094,0.22
2.40X006.6,0066-24,2.4,6.6,0.094,0.26
2.40X007.6,0076-24,2.4,7.6,0.094,0.299
2.40X008.6,0086-24,2.4,8.6,0.094,0.339
2.40X009.6,0096-24,2.4,9.6,0.094,0.378
2.40X010.6,0106-24,2.4,10.6,0.094,0.417
2.40X011.6,0116-24,2.4,11.6,0.094,0.457
2.40X012.6,0126-24,2.4,12.6,0.094,0.496
2.40X013.6,0136-24,2.4,13.6,0.094,0.535
2.40X014.6,0146-24,2.4,14.6,0.094,0.575
2.40X015.6,0156-24,2.4,15.6,0.094,0.614
2.40X016.6,0166-24,2.4,16.6,0.094,0.654
2.40X017.6,0176-24,2.4,17.6,0.094,0.693
2.40X018.6,0186-24,2.4,18.6,0.094,0.732
2.40X019.6,0196-24,2.4,19.6,0.094,0.772
2.40X020.6,0206-24,2.4,20.6,0.094,0.811
2.40X021.6,0216-24,2.4,21.6,0.094,0.85
2.40X024.6,0246-24,2.4,24.6,0.094,0.969
2.40X027.6,0276-24,2.4,27.6,0.094,1.087
2.40X029.6,0296-24,2.4,29.6,0.094,1.165
2.40X031.6,0316-24,2.4,31.6,0.094,1.244
2.40X034.6,0346-24,2.4,34.6,0.094,1.362
2.40X035.6,0356-24,2.4,35.6,0.094,1.402
2.40X037.6,0376-24,2.4,37.6,0.094,1.48
2.40X039.6,0396-24,2.4,39.6,0.094,1.559
2.40X041.6,0416-24,2.4,41.6,0.094,1.638
2.40X044.6,0446-24,2.4,44.6,0.094,1.756
2.40X045.6,0456-24,2.4,45.6,0.094,1.795
2.40X047.6,0476-24,2.4,47.6,0.094,1.874
2.40X049.6,0496-24,2.4,49.6,0.094,1.953
2.40X051.6,0516-24,2.4,51.6,0.094,2.031
2.40X054.6,0546-24,2.4,54.6,0.094,2.15
2.40X055.6,0556-24,2.4,55.6,0.094,2.189
2.40X057.6,0576-24,2.4,57.6,0.094,2.268
2.40X058.6,0586-24,2.4,58.6,0.094,2.307
2.40X059.6,0596-24,2.4,59.6,0.094,2.346
2.40X061.6,0616-24,2.4,61.6,0.094,2.425
2.40X062.6,0626-24,2.4,62.6,0.094,2.465
2.40X064.6,0646-24,2.4,64.6,0.094,2.543
2.40X067.6,0676-24,2.4,67.6,0.094,2.661
2.40X069.6,0696-24,2.4,69.6,0.094,2.74
3.00X019.5,0195-30,3,19.5,0.118,0.768
3.00X021.5,0215-30,3,21.5,0.118,0.846
3.00X022.5,0225-30,3,22.5,0.118,0.886
3.00X024.5,0245-30,3,24.5,0.118,0.965
3.00X025.5,0255-30,3,25.5,0.118,1.004
3.00X026.5,0265-30,3,26.5,0.118,1.043
3.00X027.5,0275-30,3,27.5,0.118,1.083
3.00X029.5,0295-30,3,29.5,0.118,1.161
3.00X031.5,0315-30,3,31.5,0.118,1.24
3.00X032.5,0325-30,3,32.5,0.118,1.28
3.00X034.5,0345-30,3,34.5,0.118,1.358
3.00X035.5,0355-30,3,35.5,0.118,1.398
3.00X036.5,0365-30,3,36.5,0.118,1.437
3.00X037.5,0375-30,3,37.5,0.118,1.476
3.00X039.5,0395-30,3,39.5,0.118,1.555
3.00X041.5,0415-30,3,41.5,0.118,1.634
3.00X042.5,0425-30,3,42.5,0.118,1.673
3.00X044.5,0445-30,3,44.5,0.118,1.752
3.00X049.5,0495-30,3,49.5,0.118,1.949
3.00X054.5,0545-30,3,54.5,0.118,2.146
3.00X055.5,0555-30,3,55.5,0.118,2.185
3.00X057.5,0575-30,3,57.5,0.118,2.264
3.00X059.5,0595-30,3,59.5,0.118,2.343
3.00X062.5,0625-30,3,62.5,0.118,2.461
3.00X064.5,0645-30,3,64.5,0.118,2.539
3.00X069.5,0695-30,3,69.5,0.118,2.736
3.00X074.5,0745-30,3,74.5,0.118,2.933
3.00X079.5,0795-30,3,79.5,0.118,3.13
3.00X084.5,0845-30,3,84.5,0.118,3.327
3.00X089.5,0895-30,3,89.5,0.118,3.524
3.00X094.5,0945-30,3,94.5,0.118,3.72
3.00X099.5,0995-30,3,99.5,0.118,3.917
3.00X104.5,1045-30,3,104.5,0.118,4.114
3.00X109.5,1095-30,3,109.5,0.118,4.311
3.00X114.5,1145-30,3,114.5,0.118,4.508
