Global Part #,Reference,C/S (MM),I.D. (MM)
0.97X002.54,0.97x2.54,0.97,2.54
1.00X001,1x1,1,1
1.00X001.5,1x1.5,1,1.5
1.00X001.78,1x1.78,1,1.78
1.00X002,1x2,1,2
1.00X002.5,1x2.5,1,2.5
1.00X003,1x3,1,3
1.00X003.5,1x3.5,1,3.5
1.00X004,1x4,1,4
1.00X004.5,1x4.5,1,4.5
1.00X005,1x5,1,5
1.00X005.5,1x5.5,1,5.5
1.00X006,1x6,1,6
1.00X006.5,1x6.5,1,6.5
1.00X007,1x7,1,7
1.00X007.5,1x7.5,1,7.5
1.00X008,1x8,1,8
1.00X008.5,1x8.5,1,8.5
1.00X009,1x9,1,9
1.00X009.5,1x9.5,1,9.5
1.00X010,1x10,1,10
1.00X010.5,1x10.5,1,10.5
1.00X011,1x11,1,11
1.00X011.5,1x11.5,1,11.5
1.00X012,1x12,1,12
1.00X012.5,1x12.5,1,12.5
1.00X013,1x13,1,13
1.00X013.5,1x13.5,1,13.5
1.00X014,1x14,1,14
1.00X014.5,1x14.5,1,14.5
1.00X015,1x15,1,15
1.00X015.5,1x15.5,1,15.5
1.00X016,1x16,1,16
1.00X017,1x17,1,17
1.00X017.5,1x17.5,1,17.5
1.00X018,1x18,1,18
1.00X018.5,1x18.5,1,18.5
1.00X019,1x19,1,19
1.00X019.5,1x19.5,1,19.5
1.00X020,1x20,1,20
1.00X021,1x21,1,21
1.00X021.5,1x21.5,1,21.5
1.00X022,1x22,1,22
1.00X023,1x23,1,23
1.00X024,1x24,1,24
1.00X025,1x25,1,25
1.00X026,1x26,1,26
1.00X027,1x27,1,27
1.00X028,1x28,1,28
1.00X029,1x29,1,29
1.00X030,1x30,1,30
1.00X031,1x31,1,31
1.00X032,1x32,1,32
1.00X033,1x33,1,33
1.00X034,1x34,1,34
1.00X035,1x35,1,35
1.00X036,1x36,1,36
1.00X037,1x37,1,37
1.00X038,1x38,1,38
1.00X039,1x39,1,39
1.00X040,1x40,1,40
1.00X042,1x42,1,42
1.00X043,1x43,1,43
1.00X044,1x44,1,44
1.00X046,1x46,1,46
1.00X048,1x48,1,48
1.00X049,1x49,1,49
1.00X058,1x58,1,58
1.00X068,1x68,1,68
1.00X094,1x94,1,94
1.50X001,1.5x1,1.5,1
1.50X001.5,1.5x1.5,1.5,1.5
1.50X001.85,1.5x1.85,1.5,1.85
1.50X002,1.5x2,1.5,2
1.50X002.5,1.5x2.5,1.5,2.5
1.50X003,1.5x3,1.5,3
1.50X003.5,1.5x3.5,1.5,3.5
1.50X004,1.5x4,1.5,4
1.50X004.5,1.5x4.5,1.5,4.5
1.50X005,1.5x5,1.5,5
1.50X005.5,1.5x5.5,1.5,5.5
1.50X006,1.5x6,1.5,6
1.50X006.5,1.5x6.5,1.5,6.5
1.50X007,1.5x7,1.5,7
1.50X007.5,1.5x7.5,1.5,7.5
1.50X008,1.5x8,1.5,8
1.50X008.5,1.5x8.5,1.5,8.5
1.50X009,1.5x9,1.5,9
1.50X009.5,1.5x9.5,1.5,9.5
1.50X010,1.5x10,1.5,10
1.50X010.5,1.5x10.5,1.5,10.5
1.50X011,1.5x11,1.5,11
1.50X011.5,1.5x11.5,1.5,11.5
1.50X012,1.5x12,1.5,12
1.50X012.5,1.5x12.5,1.5,12.5
1.50X013,1.5x13,1.5,13
1.50X013.5,1.5x13.5,1.5,13.5
1.50X014,1.5x14,1.5,14
1.50X014.5,1.5x14.5,1.5,14.5
1.50X015,1.5x15,1.5,15
1.50X015.5,1.5x15.5,1.5,15.5
1.50X016,1.5x16,1.5,16
1.50X016.5,1.5x16.5,1.5,16.5
1.50X017,1.5x17,1.5,17
1.50X017.5,1.5x17.5,1.5,17.5
1.50X018,1.5x18,1.5,18
1.50X018.5,1.5x18.5,1.5,18.5
1.50X019,1.5x19,1.5,19
1.50X019.5,1.5x19.5,1.5,19.5
1.50X020,1.5x20,1.5,20
1.50X021,1.5x21,1.5,21
1.50X021.5,1.5x21.5,1.5,21.5
1.50X022,1.5x22,1.5,22
1.50X023,1.5x23,1.5,23
1.50X023.5,1.5x23.5,1.5,23.5
1.50X024,1.5x24,1.5,24
1.50X025,1.5x25,1.5,25
1.50X026,1.5x26,1.5,26
1.50X026.5,1.5x26.5,1.5,26.5
1.50X027,1.5x27,1.5,27
1.50X027.5,1.5x27.5,1.5,27.5
1.50X028,1.5x28,1.5,28
1.50X029,1.5x29,1.5,29
1.50X029.5,1.5x29.5,1.5,29.5
1.50X030,1.5x30,1.5,30
1.50X031,1.5x31,1.5,31
1.50X032,1.5x32,1.5,32
1.50X033,1.5x33,1.5,33
1.50X034,1.5x34,1.5,34
1.50X035,1.5x35,1.5,35
1.50X036,1.5x36,1.5,36
1.50X037,1.5x37,1.5,37
1.50X038,1.5x38,1.5,38
1.50X039,1.5x39,1.5,39
1.50X039.5,1.5x39.5,1.5,39.5
1.50X040,1.5x40,1.5,40
