Global Part #,Reference,C/S (MM),I.D. (MM),C/S (Inch),I.D. (Inch)
1.60X006.1,M8 X 1,1.6,6.1,0.063,0.24
1.60X008.1,M10 X 1,1.6,8.1,0.063,0.319
2.20X009.3,M12 X 1.5,2.2,9.3,0.087,0.366
2.20X011.3,M14 X 1.5,2.2,11.3,0.087,0.445
2.20X013.3,M16 X 1.5,2.2,13.3,0.087,0.524
2.20X015.3,M18 X 1.5,2.2,15.3,0.087,0.602
2.20X017.3,M20 X 1.5,2.2,17.3,0.087,0.681
2.20X019.3,M22 X 1.5,2.2,19.3,0.087,0.76
2.90X023.6,M27 X 2,2.9,23.6,0.114,0.929
2.90X029.6,M33 X 2,2.9,29.6,0.114,1.165
2.90X038.6,M42 X 2,2.9,38.6,0.114,1.52
2.90X044.6,M48 X 2,2.9,44.6,0.114,1.756
2.90X056.6,M60 X 2,2.9,56.6,0.114,2.228
