Reference,C/S (MM),I.D. (MM)
G25,3.1,24.4
G30,3.1,29.4
G35,3.1,34.4
G40,3.1,39.4
G45,3.1,44.4
G50,3.1,49.4
G55,3.1,54.4
G60,3.1,59.4
G65,3.1,64.4
G70,3.1,69.4
G75,3.1,74.4
G80,3.1,79.4
G85,3.1,84.4
G90,3.1,89.4
G95,3.1,94.4
G100,3.1,99.4
G105,3.1,104.4
G110,3.1,109.4
G115,3.1,114.4
G120,3.1,119.4
G125,3.1,124.4
G130,3.1,129.4
G135,3.1,134.4
G140,3.1,139.4
G145,3.1,144.4
G150,5.7,149.3
G155,5.7,154.3
G160,5.7,159.3
G165,5.7,164.3
G170,5.7,169.3
G175,5.7,174.3
G180,5.7,179.3
G185,5.7,184.3
G190,5.7,189.3
G195,5.7,194.3
G200,5.7,199.3
G205,5.7,204.3
G210,5.7,209.3
G215,5.7,214.3
G220,5.7,219.3
G225,5.7,224.3
G230,5.7,229.3
G235,5.7,234.3
G240,5.7,239.3
G245,5.7,244.3
G250,5.7,249.3
G255,5.7,254.3
G260,5.7,259.3
G265,5.7,264.3
G270,5.7,269.3
G280,5.7,279.3
G285,5.7,284.3
G290,5.7,289.3
G300,5.7,299.3
G305,5.7,304.3
G310,5.7,309.3
G315,5.7,314.3
G320,5.7,319.3
G325,5.7,324.3
G330,5.7,329.3
G335,5.7,334.3
G340,5.7,339.3
G345,5.7,344.3
G350,5.7,349.3
G355,5.7,354.3
G360,5.7,359.3
G365,5.7,364.3
G370,5.7,369.3
G375,5.7,374.3
G380,5.7,379.3
G385,5.7,384.3
G390,5.7,389.3
G395,5.7,394.3
G400,5.7,399.3
G405,5.7,404.3
G410,5.7,409.3
G415,5.7,414.3
G420,5.7,419.3
G425,5.7,424.3
G430,5.7,429.3
G435,5.7,435.3
G440,5.7,439.3
G445,5.7,444.3
G450,5.7,449.3
G455,5.7,454.3
G460,5.7,459.3
G465,5.7,464.3
G470,5.7,469.3
G475,5.7,474.3
G480,5.7,479.3
G485,5.7,484.3
G490,5.7,489.3
G495,5.7,494.3
G500,5.7,499.3
G510,5.7,509.3
G520,5.7,519.3
