Reference,C/S (MM),I.D. (MM)
P3,1.9,2.8
P4,1.9,3.8
P5,1.9,4.8
P6,1.9,5.8
P7,1.9,6.8
P8,1.9,7.8
P9,1.9,8.8
P10,1.9,9.8
P10A,2.4,9.8
P11,2.4,10.8
P11.2,2.4,11
P12,2.4,11.8
P12.5,2.4,12.3
P13,2.4,12.8
P14,2.4,13.8
P15,2.4,14.8
P16,2.4,15.8
P17,2.4,16.8
P18,2.4,17.8
P19,2.4,18.8
P20,2.4,19.8
P21,2.4,20.8
P22,2.4,21.8
P22A,3.5,21.7
P22.4,3.5,22.1
P24,3.5,23.7
P25,3.5,24.7
P25.5,3.5,25.2
P26,3.5,25.7
P28,3.5,27.7
P29,3.5,28.7
P29.5,3.5,29.2
P30,3.5,29.7
P31,3.5,30.7
P31.5,3.5,31.2
P32,3.5,31.7
P33,3.5,32.7
P34,3.5,33.7
P35,3.5,34.7
P35.5,3.5,35.2
P36,3.5,35.7
P38,3.5,37.7
P39,3.5,38.7
P40,3.5,39.7
P41,3.5,40.7
P42,3.5,41.7
P44,3.5,43.7
P45,3.5,44.7
P46,3.5,45.7
P48,3.5,47.7
P49,3.5,48.7
P50,3.5,49.7
P48A,5.7,47.6
P50A,5.7,49.6
P52,5.7,51.6
P53,5.7,52.6
P55,5.7,54.6
P56,5.7,55.6
P58,5.7,57.6
P60,5.7,59.6
P62,5.7,61.6
P63,5.7,62.6
P65,5.7,64.6
P67,5.7,66.6
P70,5.7,69.6
P71,5.7,70.6
P75,5.7,74.6
P80,5.7,79.6
P85,5.7,84.6
P90,5.7,89.6
P95,5.7,94.6
P100,5.7,99.6
P102,5.7,101.6
P105,5.7,104.6
P110,5.7,109.6
P112,5.7,111.6
P115,5.7,114.6
P120,5.7,119.6
P125,5.7,124.6
P130,5.7,129.6
P132,5.7,131.6
P135,5.7,134.6
P140,5.7,139.6
P145,5.7,144.6
P150,5.7,149.6
P150A,8.4,149.5
P155,8.4,154.5
P160,8.4,159.5
P165,8.4,164.5
P170,8.4,169.5
P175,8.4,174.5
P180,8.4,179.5
P185,8.4,184.5
P190,8.4,189.5
P195,8.4,194.5
P200,8.4,199.5
P205,8.4,204.5
P209,8.4,208.5
P210,8.4,209.5
P215,8.4,214.5
P220,8.4,219.5
P225,8.4,224.5
P230,8.4,229.5
P235,8.4,234.5
P240,8.4,239.5
P245,8.4,244.5
P250,8.4,249.5
P255,8.4,254.5
P260,8.4,259.5
P265,8.4,264.5
P270,8.4,269.5
P275,8.4,274.5
P280,8.4,279.5
P285,8.4,284.5
P290,8.4,289.5
P295,8.4,294.5
P300,8.4,299.5
P305,8.4,304.5
P310,8.4,309.5
P315,8.4,314.5
P320,8.4,319.5
P335,8.4,334.5
P340,8.4,339.5
P350,8.4,349.5
P355,8.4,354.5
P360,8.4,359.5
P375,8.4,374.5
P380,8.4,379.5
P385,8.4,384.5
P390,8.4,389.5
P400,8.4,399.5
P410,8.4,409.5
P420,8.4,419.5
P440,8.4,439.5
P450,8.4,449.5
P470,8.4,469.5
P480,8.4,479.5
