Global Part #,Reference,C/S (MM),I.D. (MM),C/S (Inch),I.D. (Inch)
1.80X001.8,A0018,1.8,1.8,0.071,0.071
1.80X002,A0020,1.8,2,0.071,0.079
1.80X002.24,A0022,1.8,2.24,0.071,0.088
1.80X002.5,A0025,1.8,2.5,0.071,0.098
1.80X002.8,A0028,1.8,2.8,0.071,0.11
1.80X003.15,A0032,1.8,3.15,0.071,0.124
1.80X003.55,A0036,1.8,3.55,0.071,0.14
1.80X003.75,A0038,1.8,3.75,0.071,0.148
1.80X004,A0040,1.8,4,0.071,0.157
1.80X004.5,A0045,1.8,4.5,0.071,0.177
1.80X004.75,A0048,1.8,4.75,0.071,0.187
1.80X004.87,A0049,1.8,4.87,0.071,0.192
1.80X005,A0050,1.8,5,0.071,0.197
1.80X005.15,A0052,1.8,5.15,0.071,0.203
1.80X005.3,A0053,1.8,5.3,0.071,0.209
1.80X005.6,A0056,1.8,5.6,0.071,0.22
1.80X006,A0060,1.8,6,0.071,0.236
1.80X006.3,A0063,1.8,6.3,0.071,0.248
1.80X006.7,A0067,1.8,6.7,0.071,0.264
1.80X006.9,A0069,1.8,6.9,0.071,0.272
1.80X007.1,A0071,1.8,7.1,0.071,0.28
1.80X007.5,A0075,1.8,7.5,0.071,0.295
1.80X008,A0080,1.8,8,0.071,0.315
1.80X008.5,A0085,1.8,8.5,0.071,0.335
1.80X008.75,A0088,1.8,8.75,0.071,0.344
1.80X009,A0090,1.8,9,0.071,0.354
1.80X009.5,A0095,1.8,9.5,0.071,0.374
1.80X010,A0100,1.8,10,0.071,0.394
1.80X010.6,A0106,1.8,10.6,0.071,0.417
1.80X011.2,A0112,1.8,11.2,0.071,0.441
1.80X011.6,A0116,1.8,11.6,0.071,0.457
1.80X011.8,A0118,1.8,11.8,0.071,0.465
1.80X012.1,A0121,1.8,12.1,0.071,0.476
1.80X012.5,A0125,1.8,12.5,0.071,0.492
1.80X012.8,A0128,1.8,12.8,0.071,0.504
1.80X013.2,A0132,1.8,13.2,0.071,0.52
1.80X014,A0140,1.8,14,0.071,0.551
1.80X014.5,A0145,1.8,14.5,0.071,0.571
1.80X015,A0150,1.8,15,0.071,0.591
1.80X015.5,A0155,1.8,15.5,0.071,0.61
1.80X016,A0160,1.8,16,0.071,0.63
1.80X017,A0170,1.8,17,0.071,0.669
1.80X018,A0180,1.8,18,0.071,0.709
1.80X019,A0190,1.8,19,0.071,0.748
1.80X020,A0200,1.8,20,0.071,0.787
1.80X020.6,A0206,1.8,20.6,0.071,0.811
1.80X021.2,A0212,1.8,21.2,0.071,0.835
1.80X022.4,A0224,1.8,22.4,0.071,0.882
